B60L7/10,B60T1/10,D21F5/20,F01K17/02,F01K17/06,F01K27/02,F02C7/10,F02G5/00,F15B21/14,F16D61/00,F17C9/04,F22B1/16,F22B1/18,F22D1/40,F22G1/02,F22G1/12,F22G5/06,F23G5/46,F24F3/147,F24F12/00,F24H8/00,F27D17/00,F28C1/08
681,85,0,0,0,0,1,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0
85,630,0,0,0,0,0,2,4,277,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,127,12,8,0,0,0,0,0,5,6,0,0,0,0,0,0,0,2,0,0
0,0,0,12,93,3,0,1,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0
0,0,0,8,3,130,0,6,0,0,1,2,3,0,1,0,0,3,0,0,0,0,0
1,0,0,0,0,0,156,0,0,0,1,0,3,0,0,0,0,3,0,0,0,0,0
0,2,0,0,1,6,0,147,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
1,4,0,0,0,0,0,0,353,1,0,0,0,0,0,0,0,0,0,0,0,0,0
44,277,0,0,0,0,0,0,1,295,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,1,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,5,1,2,0,1,0,0,0,73,11,0,0,0,0,1,0,0,2,0,0
0,0,0,6,1,3,3,2,0,0,0,11,247,0,9,0,0,17,0,0,6,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,9,0,31,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,3,3,3,0,0,0,0,1,17,0,0,0,0,286,0,0,2,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,7,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,108,0,0,0
0,0,0,2,0,0,0,0,0,0,0,2,6,0,0,0,0,2,0,0,233,0,0
0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,98,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
