ID
    US10787400B2
citation_exist
    Patent Citations (518)
citation_infor
520
    Publication number,Priority date,Publication date,Assignee,Title
    FR649429A,1927-01-28,1928-12-21,Ig Farbenindustrie Ag,Process for the continuous separation of liquid mixtures
    US2324172A,1940-10-31,1943-07-13,Standard Oil Co,Processing well fluids
    US2486980A,1946-02-01,1949-11-01,Phillips Petroleum Co,Catalytic vapor phase hydration of ethylene
    US2577701A,1946-05-20,1951-12-04,Shell Dev,Fractionation process
    US2579601A,1950-08-16,1951-12-25,Shell Dev,Olefin hydration process
    US2621216A,1950-08-17,1952-12-09,Shell Dev,Production of ethylene
    US2673221A,1952-01-18,1954-03-23,Eastman Kodak Co,Process of producing ethyl alcohol by hydration of ethylene
    GB733336A,1951-06-20,1955-07-13,Ici Ltd,Improvements in and relating to the production of lower alkenes
    US2880592A,1955-11-10,1959-04-07,Phillips Petroleum Co,Demethanization of cracked gases
    US2906795A,1957-07-31,1959-09-29,Texaco Inc,Recovery and utilization of normally gaseous olefins
    US2926751A,1958-09-22,1960-03-01,Fluor Corp,Organic carbonate process for carbon dioxide
    US2943125A,1954-08-07,1960-06-28,Ziegler,Production of dimers and low molecular polymerization products from ethylene
    US3094569A,1958-10-20,1963-06-18,Union Carbide Corp,Adsorptive separation process
    US3128317A,1961-01-13,1964-04-07,Texaco Inc,Selective hydrogenation of acetylene in ethylene with a zeolitic catalyst
    US3325556A,1964-05-18,1967-06-13,Universal Oil Prod Co,Selective hydrogenation of acetylene in a mixture of acetylene and other unsaturated hydrocarbons
    US3413817A,1964-04-10,1968-12-03,Lummus Co,Liquefaction of natural gas at supercritical pressure employing a single refrigeration cycle
    US3459678A,1966-01-03,1969-08-05,Eastman Kodak Co,Olefin hydration catalyst
    DE1905517A1,1969-02-05,1970-08-20,Knapsack Ag,Dichloroethane from gaseous ethane and - chlorine
    US3584071A,1968-03-01,1971-06-08,Gulf Research Development Co,Telomerization of ethylene
    US3596473A,1967-12-27,1971-08-03,Messer Griesheim Gmbh,Liquefaction process for gas mixtures by means of fractional condensation
    US3660519A,1969-08-20,1972-05-02,Mitsui Petrochemical Ind,Process for producing higher olefins
    US3686350A,1969-05-29,1972-08-22,Isao Ono,Process for dimerization or co-dimerization of {60 olefin
    US3686334A,1969-01-13,1972-08-22,Exxon Research Engineering Co,Direct hydration of ethylene to ethanol
    US3702886A,1969-10-10,1972-11-14,Mobil Oil Corp,Crystalline zeolite zsm-5 and method of preparing the same
    US3709669A,1970-12-28,1973-01-09,Texaco Development Corp,Methane production
    US3751878A,1972-10-20,1973-08-14,Union Carbide Corp,Bulk separation of carbon dioxide from natural gas
    US3754052A,1972-01-14,1973-08-21,Sun Research Development,Ethylene alkylation resulting in alkylate with high proportion of 2,3-dimethylbutane
    US3761540A,1971-04-30,1973-09-25,Phillips Petroleum Co,Alkylation of isoparaffin with ethylene and a higher olefin
    US3862257A,1972-04-17,1975-01-21,Exxon Research Engineering Co,Modified ziegler catalyst for alpha olefin wax synthesis
    US3900526A,1972-05-02,1975-08-19,Phillips Petroleum Co,Selective removal of 1,2 polyenes and acetylenic compounds from conjugated-diene feed using a nickel, iron or cobalt arsenide catalyst
    US3931349A,1974-09-23,1976-01-06,Mobil Oil Corporation,Conversion of methanol to gasoline components
    US3966644A,1973-08-03,1976-06-29,American Cyanamid Company,Shaped catalyst particles
    US3994983A,1974-06-21,1976-11-30,Deutsche Texaco Aktiengesellschaft,Process for the production of lower alcohols by direct catalytic hydration lower olefins
    US4012452A,1973-12-17,1977-03-15,National Distillers And Chemical Corporation,Olefin hydration process
    DE2540257A1,1975-09-10,1977-04-28,Hoechst Ag,(1,2)-Dichloroethane prepn. by liq. phase ethylene chlorination - in tall cylindrical reactor at low rotational speed of reaction mixt.
    US4090949A,1974-07-31,1978-05-23,Mobil Oil Corportion,Upgrading of olefinic gasoline with hydrogen contributors
    US4101600A,1976-02-23,1978-07-18,Viktor Ivanovich Zhukov,Method of dimerization of alpha-olefins
    US4107224A,1977-02-11,1978-08-15,Mobil Oil Corporation,Manufacture of ethyl benzene
    US4126645A,1976-04-06,1978-11-21,Imperial Chemical Industries Limited,Selective hydrogenation of highly unsaturated hydrocarbons in the presence of less unsaturated hydrocarbons
    US4132745A,1976-06-25,1979-01-02,Institut Francais Du Petrole,Process for isomerizing 1-butene to 2-butene
    US4140504A,1976-08-09,1979-02-20,The Ortloff Corporation,Hydrocarbon gas processing
    US4211885A,1979-05-15,1980-07-08,Phillips Petroleum Company,High octane gasoline components from catalytic cracking gasoline, propylene, and isobutane by disproportionation, cleavage and alkylation
    US4232177A,1979-02-21,1980-11-04,Chemical Research & Licensing Company,Catalytic distillation process
    US4311851A,1979-12-19,1982-01-19,Chem Systems Inc.,Preparation of carboxylic acid esters with BF3 -alcohol complex catalyst
    US4314090A,1980-08-18,1982-02-02,The Dow Chemical Company,Linear alpha olefin production
    US4328130A,1980-10-22,1982-05-04,Chevron Research Company,Shaped channeled catalyst
    US4329530A,1979-11-20,1982-05-11,Imperial Chemical Industries Limited,Hydrogenation catalyst and process for the selective hydrogenation of highly unsaturated hydrocarbons
